# Your daily usage (2022-05-12)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-04-08,21.42,12.15,8.18,,,,,,,1.76,1.37,1.39,,,,,,,6
2022-04-09,25.18,0.00,0.00,,,,,,,2.06,0.00,0.00,,,,,,,5
2022-04-10,46.19,0.00,0.00,,,,,,,3.79,0.00,0.00,,,,,,,5
2022-04-11,26.48,4.66,5.67,,,,,,,2.17,0.53,0.96,,,,,,,7
2022-04-12,13.57,6.28,5.61,,,,,,,1.11,0.71,0.95,,,,,,,11
2022-04-13,11.45,3.06,5.04,,,,,,,0.94,0.35,0.86,,,,,,,13
2022-04-14,6.26,4.22,2.96,,,,,,,0.51,0.48,0.50,,,,,,,10
2022-04-15,19.36,0.00,0.00,,,,,,,1.59,0.00,0.00,,,,,,,9
2022-04-16,28.34,0.00,0.00,,,,,,,2.32,0.00,0.00,,,,,,,
2022-04-17,27.56,0.00,0.00,,,,,,,2.26,0.00,0.00,,,,,,,3
2022-04-18,17.40,3.28,6.49,,,,,,,1.43,0.37,1.10,,,,,,,3
2022-04-19,19.67,3.47,5.77,,,,,,,1.61,0.39,0.98,,,,,,,4
2022-04-20,17.24,4.81,3.10,,,,,,,1.41,0.54,0.53,,,,,,,6
2022-04-21,12.54,5.00,5.55,,,,,,,1.03,0.57,0.94,,,,,,,10
2022-04-22,10.91,6.84,4.15,,,,,,,0.89,0.77,0.71,,,,,,,7
2022-04-23,39.07,0.00,0.00,,,,,,,3.20,0.00,0.00,,,,,,,9
2022-04-24,49.57,0.00,0.00,,,,,,,4.06,0.00,0.00,,,,,,,12
2022-04-25,21.34,5.60,8.09,,,,,,,1.75,0.63,1.38,,,,,,,14
2022-04-26,18.53,7.17,6.81,,,,,,,1.52,0.81,1.16,,,,,,,6
2022-04-27,17.21,6.13,9.49,,,,,,,1.41,0.69,1.61,,,,,,,1
2022-04-28,13.23,5.96,5.91,,,,,,,1.08,0.67,1.00,,,,,,,4
2022-04-29,20.41,8.36,9.22,,,,,,,1.67,0.94,1.57,,,,,,,7
2022-04-30,31.66,0.00,0.00,,,,,,,2.60,0.00,0.00,,,,,,,7
2022-05-01,14.75,0.00,0.00,,,,,,,1.21,0.00,0.00,,,,,,,9
2022-05-02,10.29,3.25,4.43,,,,,,,0.84,0.37,0.75,,,,,,,11
2022-05-03,10.82,2.18,3.19,,,,,,,0.89,0.25,0.54,,,,,,,
2022-05-04,7.88,4.27,6.04,,,,,,,0.65,0.48,1.03,,,,,,,12
2022-05-05,9.82,3.59,2.98,,,,,,,0.81,0.41,0.51,,,,,,,10
2022-05-06,11.53,5.36,8.69,,,,,,,0.95,0.61,1.48,,,,,,,13
